,KOR,AUS,GBR,ESP,JPN,CAN,USA,MEX,DEU,ITA,CHE,SWE,FRA
1997-09-01,-3.2050407413294173,-1.9610912623840004,-1.221606802081688,-1.4448945514355673,-1.4593115194838993,-1.3134912899890634,-0.9556314161913236,-2.659435559603073,-1.3656900617319583,-0.8303032222810052,-0.8612425735819176,-3.2547648973951895,-0.7274559815002742
1997-12-01,-3.24505160551923,-1.9511009926252587,-1.0959849091921885,-1.2776904743775725,-1.5164891827042353,-1.2952353506282335,-0.9373044874865406,-3.0672421248208903,-1.3113478343888811,-0.6648075816651402,-1.1584818440315225,-3.0486818755752725,-0.4404478720100223
1998-03-01,-3.051300659286904,-1.9828553030727922,-1.3390796767735553,-1.4897289207311868,-1.4744233792822474,-1.3711474345076704,-0.9398897369722868,-2.857026373012113,-1.712549679190118,-0.9285104255640625,-1.4130659653323128,-2.9139257789673603,-0.657478339972317
1998-06-01,-3.4164528847235545,-1.6842770544846288,-1.0393275716117703,-1.3306534885961254,-1.3819137754085706,-1.3039262277279364,-0.9727387851881237,-3.234098199127822,-1.2083515501597961,-0.9914444158248393,-1.1669108831764776,-3.1028330970029714,-0.7972711075153414
1998-09-01,-3.2000227503022884,-2.094245876664472,-1.0917455457609009,-1.5085811808452065,-1.391522630641352,-1.3425551271216052,-0.9878115512560095,-2.9461332956905792,-1.470718084029754,-0.9071388894999428,-1.613346806806423,-3.1314022749072388,-0.7460374243461899
1998-12-01,-1.746554872946471,-1.9361221231694277,-1.1225302652263514,-1.5698862226826686,-1.3334825458455795,-1.3327171574767915,-0.8780247427621992,-2.9178534692768827,-1.20071645447963,-1.163417921196025,-1.5502388921433976,-2.9969307176226314,-0.9021014852426676
1999-03-01,-1.9038131566788328,-1.9960251621184208,-0.7446159840173787,-1.5189276907151377,-1.2781055335188667,-1.3951039764038875,-1.0133857865752585,-2.7335048805827853,-0.9140918480748544,-0.6949321696603838,-1.1583839657571942,-2.9283891130436057,-0.6352460440894374
1999-06-01,-2.3558247653531117,-1.959891671007335,-0.7295934957947541,-1.603905743067004,-1.6886569730194534,-1.2792765867833853,-0.9814483470437422,-2.6894602028918086,-1.4932944926915341,-0.9448320733918338,-1.1726880679267657,-3.094306175782485,-0.6311558057476568
1999-09-01,-2.256162545640498,-1.8375400753602815,-0.862218497006306,-1.4782845970213983,-1.6545432020280346,-1.3518014706644534,-1.0057722519678347,-2.076424946636826,-1.1991240320253658,-0.7843068995928705,-1.165655801939802,-2.9367866561081035,-0.6168564326062413
1999-12-01,-2.3702340735487355,-1.8845182493057016,-1.1810847905316018,-1.5218324833615422,-1.578073154098144,-1.3887416180388619,-1.0841270025581544,-1.652858952515518,-1.5319590762611732,-0.6475993964341531,-1.1796470411993476,-2.8077328028167132,-0.6345577180635152
2000-03-01,-2.7745834942730907,-1.9716120887169573,-1.0474471254615019,-0.9376295891257611,-1.7689454650750538,-1.426689862407005,-0.977015894588816,-2.230789061705271,-0.8479418044676413,-0.9471896358747979,-1.13831549975648,-2.924545416717374,-0.6166097684800679
2000-06-01,-3.1721850343648357,-2.038807322070736,-0.6704340426669935,-0.9108591082423085,-1.7174388006357204,-1.3258049737601396,-0.907826334929208,-2.356357845192134,-1.3890596590395554,-0.8480119615000103,-1.150719698811401,-2.991328992994546,-0.6328404758652297
2000-09-01,-3.1292404604392052,-1.549627359098107,-0.869936114416706,-0.9153645870523152,-1.7510554279290405,-1.3505182473323023,-0.8438640321031624,-2.3346115244323937,-1.1273168845770822,-0.8467406839161844,-1.094047079678635,-3.054790902568613,-0.44794236383813046
2000-12-01,-3.1626199248965197,-1.5556364623522607,-0.5826829864440324,-0.8231139302625732,-1.8136501686458715,-1.3314310066399044,-0.9221669395798676,-2.493435165283307,-1.2930158100523461,-1.0037402914759272,-1.166313123300528,-2.9950307821502395,-0.41538222398727986
2001-03-01,-3.1540121033038497,-1.5639717734057113,-0.7177198994841215,-1.0143931950300424,-1.690358977199739,-1.3745002335179133,-0.7182061914222893,-2.7141254584886187,-0.922109161814546,-0.9941196410204279,-1.102884631904029,-2.8468576109906016,-0.455370774280568
2001-06-01,-3.1275266168315974,-1.5541795046222646,-0.7527065614905284,-0.7994370823897649,-1.7488739726271092,-1.3243847823432227,-0.973548524709845,-2.615330088357386,-1.230680680149279,-0.8092484750517145,-1.0488447981197948,-2.817188855159908,-0.5043536162030477
2001-09-01,-3.277039123200702,-1.586967505133363,-0.7098616765288577,-0.8463730894042409,-1.7016232681208219,-1.3545426441892063,-0.7675153479263086,-2.7535011716229665,-1.2959387273969663,-0.8599465792822233,-1.057771472228102,-2.213769728383253,-0.4614837479107333
2001-12-01,-2.793447793565452,-1.5768949467954123,-0.668392613403014,-0.7962813474970898,-1.4859695878843684,-1.291798003204726,-0.8777897963413236,-2.421956573193099,-1.409466962738241,-1.133164519345512,-1.1149149913972949,-2.402154470888626,-0.4588975750865805
2002-03-01,-2.715314492470695,-1.6554344407046229,-1.2826813089819364,-0.816544361550432,-1.4704979610599387,-1.3330929899208843,-0.7652783019200785,-2.5798779090383546,-0.3411434552334691,-0.8797933444044798,-1.128126668429424,-2.2072914764385354,-0.4904219919456561
2002-06-01,-2.7714633913979005,-1.5490473220660173,-1.1368210443207352,-0.7540931947217141,-1.381681394700816,-1.2959922362276297,-0.9816340667475002,-2.467367122851496,-1.1412098946720954,-0.6175027518023638,-1.1249162031583138,-2.233194526552501,-0.5552730405552383
2002-09-01,-2.6419861049034763,-1.624100515227829,-1.2487327552745264,-0.8633303857413623,-1.3381684723275125,-1.3308393758505255,-0.834404603671472,-2.6472481160894357,-1.0878687560690148,-0.6984599752433184,-1.1670878044394213,-2.0720538624236484,-0.4917389868747165
2002-12-01,-2.2674716257208827,-1.5810543745738312,-1.3042494704577394,-0.7492716876420615,-1.3233724962841298,-1.3207722611186874,-0.9216675435441828,-2.2129668524531843,-1.0997947655567928,-0.6954368514207401,-1.1752071541369176,-1.7102008014534678,-0.6057676338537417
2003-03-01,-2.7430498016686142,-1.5936414908930874,-0.9224699809840122,-0.6326729914029834,-1.3640759385211079,-1.2555152855403828,-0.9152753100533924,-2.2695277633701676,-1.2923995070960903,-0.5398449736161114,-1.1330488295672498,-2.0842329113511293,-0.5743479465637978
2003-06-01,-2.876293573572096,-1.5578628890069826,-0.8209850981000107,-0.7217227398134889,-1.3843384755184411,-1.2507236702665856,-0.825377798703316,-2.5295165291526294,-1.1616251374255149,-0.6671773335154417,-1.1246975485158013,-1.6422690363363857,-0.5488833293751713
2003-09-01,-2.59720760563251,-1.649265951550804,-1.3326819271184505,-0.22238285795257806,-1.341430461546847,-1.3333903201302848,-0.9478042069460318,-1.8627376290210107,-0.9788182638288193,-0.6584418235666333,-1.281059518995762,-1.9029523840073006,-0.5922402844009633
2003-12-01,-2.8150782474744145,-1.6044436923058734,-1.4373337048456456,-0.08477298767000929,-1.3382724967326196,-1.313893900496035,-0.9013878249694333,-1.868192179582763,-1.1096602717895383,-0.9413104456332785,-1.2741468438147658,-1.9341492567621381,-0.6290538142946857
2004-03-01,-2.9277398942870376,-1.5695187424079182,-1.4209354925106434,-0.1430294939285225,-1.3558903283358863,-1.2756859289194906,-0.9532648488578891,-2.1464663505565813,-1.5296979916706177,-0.7586148310466834,-1.2234833772468652,-1.6649118321979548,-0.5928810643492628
2004-06-01,-3.177379321244217,-1.4572964285517165,-1.0627193434781055,0.012299118705684453,-1.4142338657425206,-1.1828354281480837,-0.8863293076256145,-2.421755752356868,-1.200350552441169,-0.7636853099241514,-1.1399230964469977,-2.1516202011868293,-0.65602183014673
2004-09-01,-3.65868065592629,-1.4209350131624046,-0.8919425953066935,-0.08346331938184004,-1.4270441789848773,-1.1745278825067107,-0.9070431612090275,-2.38375514457073,-1.2005334088753794,-0.6421895565075832,-1.1106729101550796,-1.7605152477842176,-0.5582358571522882
2004-12-01,-3.919994468245612,-1.3503347409460595,-0.5466408576334747,0.06441344561909157,-1.4411234579830208,-1.1341290796380015,-0.8171210298996366,-2.62079478880396,-1.413546885433478,-0.89128344433315,-1.071854284097465,-1.914073984730655,-0.5148646572765373
2005-03-01,-3.9724746201841166,-1.3581787931564022,-0.49420636820948316,0.05763759880660735,-1.462178074612363,-1.1181574617097119,-0.773005165706602,-2.777094188370636,-1.47339592126299,-0.8068110453027166,-1.0344950895151013,-1.5764256961163103,-0.456508253800474
